2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 04_night_sky_photography.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 05_rooftop_solar_basics.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 06_trail_running_fundamentals.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 07_indoor_plant_care_manual.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 08_mountain_weather_patterns.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 09_small_business_bookkeeping.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 10_urban_composting_methods.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 11_remote_work_productivity.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 12_origami_folding_structures.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 13_analog_film_photography.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 14_personal_archive_digitization.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 15_chess_opening_principles.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 16_craft_beer_brewing_notes.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 17_deep-sea_exploration_log.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 18_ceramic_glazing_techniques.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 19_herbal_tea_blending.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 20_home_sourdough_baking.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 21_gym_report_v2.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 21_wildlife_photography_tips.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 22_desert_hiking_preparation.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 23_backyard_astronomy_guide.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 23_bank_report_v2.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 24_urban_cycling_commutes.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 25_vintage_watch_collecting.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 26_freshwater_aquarium_setup.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 27_fermented_vegetable_guide.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 28_factory_report_v2.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 28_urban_beekeeping_basics.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 29_minimalist_budget_planning.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 30_woodworking_joinery_basics.pdf
2026-09-01 14:48:52 | INFO     | app.services.ingestion_service | Skipping already indexed: 31_hospital_report_v3.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 34_restaurant_report_v3.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 36_weather_report_v3.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 37_bank_report_v3.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 40_farm_report_v3.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 46_shipping_report_v4.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 50_weather_report_v4.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: ancient_egypt.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: art_of_coffee.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: climate_change_causes_and_effects.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: effective_time_management.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: exercise_and_wellbeing.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: habit_formation.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: history_of_the_internet.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: mars_exploration.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: ocean_exploration.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: renewable_energy_overview.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: test1.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 14_train_ticket.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 15_utility_bill.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 16_medical_prescription.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 17_parking_ticket.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 18_university_transcript.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 19_stock_price_chart.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: 20_completion_certificate.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: Daily-Schedule_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: definition_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: independence day.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: mahabharth_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: social media_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: study tips_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: studyskillsbasics_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: weekly time table_png.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: rag_test_image_33.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: test1.pdf
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Skipping already indexed: test_23.png
2026-09-01 14:48:53 | INFO     | app.services.ingestion_service | Ingestion scan complete: 0 parsed, 0 failed
2026-09-01 14:48:53 | INFO     | app.api.routes | Bulk ingestion found nothing new to process.
2026-09-01 14:48:53 | INFO     | app.api.app | POST /ingest-directory -> 200 (199.0ms)
2026-09-01 14:49:36 | INFO     | app.api.app | GET /health -> 200 (0.8ms)
2026-09-01 14:50:00 | INFO     | app.api.routes | Bulk ingestion triggered.
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Found 81 candidate file(s) in data\raw
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 20_completion_certificate.png
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 34_restaurant_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: abc.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: Daily-Schedule.png
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: independence day.png
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: corona_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: Dr.-Rosenbergs-7-Habits-of-Highly-Healthy-People-1_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: hq720_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: multitask_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: music_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: real asset_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: virtual and real image_jpg.jpg
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 01_coastal_erosion_study.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 02_bicycle_maintenance_guide.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 03_classical_guitar_technique.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 04_night_sky_photography.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 05_rooftop_solar_basics.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 06_trail_running_fundamentals.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 07_indoor_plant_care_manual.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 08_mountain_weather_patterns.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 09_small_business_bookkeeping.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 10_urban_composting_methods.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 11_remote_work_productivity.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 12_origami_folding_structures.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 13_analog_film_photography.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 14_personal_archive_digitization.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 15_chess_opening_principles.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 16_craft_beer_brewing_notes.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 17_deep-sea_exploration_log.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 18_ceramic_glazing_techniques.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 19_herbal_tea_blending.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 20_home_sourdough_baking.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 21_gym_report_v2.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 21_wildlife_photography_tips.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 22_desert_hiking_preparation.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 23_backyard_astronomy_guide.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 23_bank_report_v2.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 24_urban_cycling_commutes.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 25_vintage_watch_collecting.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 26_freshwater_aquarium_setup.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 27_fermented_vegetable_guide.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 28_factory_report_v2.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 28_urban_beekeeping_basics.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 29_minimalist_budget_planning.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 30_woodworking_joinery_basics.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 31_hospital_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 34_restaurant_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 36_weather_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 37_bank_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 40_farm_report_v3.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 46_shipping_report_v4.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: 50_weather_report_v4.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: ancient_egypt.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: art_of_coffee.pdf
2026-09-01 14:50:00 | INFO     | app.services.ingestion_service | Skipping already indexed: climate_change_causes_and_effects.pdf
